,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,35,71.6,75,9.22,AU,1619840524
1,fortuna,40.5982,-124.1573,100,53.01,1,3.38,US,1619840507
2,upernavik,72.7868,-56.1549,76,23.07,100,4.32,GL,1619840525
3,faanui,-16.4833,-151.75,69,81.45,91,9.33,PF,1619840362
4,seabra,-12.4186,-41.7703,100,68.0,90,4.61,BR,1619840525
5,bermeo,43.4209,-2.7215,100,48.2,20,3.44,ES,1619840525
6,kapaa,22.0752,-159.319,78,75.2,90,12.66,US,1619840526
7,thompson,55.7435,-97.8558,100,32.0,90,9.22,CA,1619840526
8,busselton,-33.65,115.3333,75,64.99,98,1.99,AU,1619840526
9,lagoa,39.05,-27.9833,75,58.95,100,10.51,PT,1619840231
10,bredasdorp,-34.5322,20.0403,93,41.0,0,2.3,ZA,1619840527
11,ayan,56.45,138.1667,95,30.9,100,11.83,RU,1619840527
12,kavieng,-2.5744,150.7967,68,84.43,28,6.82,PG,1619840527
13,kruisfontein,-34.0033,24.7314,69,51.12,0,6.02,ZA,1619840528
14,punta arenas,8.9897,125.34,56,88.65,64,4.7,PH,1619840528
15,clearwater,27.9659,-82.8001,83,75.99,1,4.61,US,1619840529
16,brigantine,39.4101,-74.3646,35,51.8,90,25.32,US,1619840529
17,hamilton,39.1834,-84.5333,49,48.2,1,4.61,US,1619840529
18,meulaboh,4.1363,96.1285,66,84.96,94,3.29,ID,1619840530
19,ketchikan,55.3422,-131.6461,93,46.4,90,9.22,US,1619840530
20,cape town,-36.413,-71.9028,100,55.4,40,9.22,CL,1619840530
21,isangel,-19.55,169.2667,70,84.2,75,5.75,VU,1619840531
22,bin qirdan,35.0363,108.0798,24,79.72,0,4.27,CN,1619840531
23,bethel,41.3712,-73.414,53,46.4,20,14.97,US,1619840531
24,karacakoy,41.4029,28.3834,88,60.8,0,1.14,TR,1619840532
25,ribeira grande,42.7461,-8.4439,93,41.0,20,2.3,ES,1619840532
26,hambantota,6.1241,81.1185,89,84.2,20,3.44,LK,1619840363
27,namatanai,-3.6667,152.4333,67,84.88,81,2.3,PG,1619840533
